poet_id,name,birth_year,death_year,country,era,biography,poems_count,slug,source_url
8,امرؤ القيس,,,,العصر الجاهلي,"امرؤ القيس بن حجر الكندي (500–540م)، شاعر جاهلي يُعد من أعظم شعراء العرب، وُصف بأنه أشعر الناس وصاحب أشهر المعلقات. وُلد في نجد من قبيلة كندة، ونشأ مترفًا، متأثرًا بخاله الشاعر المهلهل، فتعلّم منه الشعر منذ صغره، وسلك حياة اللهو والصيد ومجالسة الصعاليك، مما أغضب والده فطرده.

انقلبت حياته بعد مقتل والده على يد بني أسد، فحمل لواء الثأر وقال مقولته الشهيرة: ""اليوم خمر وغدًا أمر"". انتقم من قتلة أبيه، ثم تنقل بين قبائل العرب مستنجدًا، حتى لجأ إلى السموأل ثم توجه إلى قيصر الروم في القسطنطينية طلبًا للدعم، لكنّه مات في أنقرة، ويُروى أنه سُمّم بجبّة مسمومة أُرسلت إليه، فسُمّي ""ذو القروح"".

امتاز شعره بالعاطفة القوية والخيال الخصب، فكان أول من رسم القصيدة الجاهلية بمعالمها الثلاثة: الوقوف على الأطلال، والغزل، ووصف الرحلة. وقد تأثر به شعراء كثيرون، وظل ديوانه محل عناية العرب والمستشرقين، رغم صغر حجمه.",66.0,imru-alqays,https://www.aldiwan.net/cat-poet-imru-alqays
9,حاتم الطائي,,,,العصر الجاهلي,"حاتم بن عبد الله الطائي (توفي نحو 46 ق.هـ / 605م)، شاعر وفارس عربي جاهلي من قبيلة طيء القحطانية، عُرف بأشهر من ضرب به المثل في الكرم والجود والشهامة، حتى غدا اسمه مرادفًا للفضائل في الأدب العربي.

نشأ في نجد بمنطقة الجبلين (أجا وسلمى – حائل حاليًا)، في بيت عرف بالكرم، حيث ورث الجود عن أمه ""عتبة بنت عفيف"" التي كانت سخية أيضًا. كان حاتم يُعرف بكنيتي أبي سفانة وأبي عدي. تزوّج من ماوية بنت حجر الغسانية، وأنجب منها عديّ وسفانة، وقد أسلما في عهد النبي محمد ﷺ.

عرفه الناس بسخائه الأسطوري، فكان لا يردّ سائلًا، وينحر الإبل لضيوفه بلا تردد، حتى في أوقات الشدة. وقد وردت عنه مواقف عظيمة في البذل والإيثار، حتى إنه نحر فرسه ليطعم امرأة وأطفالها من الجوع، ووزعه على قومه دون أن يأكل منه.

له ديوان شعر صغير، يتضمّن قصائد تعكس حكمته ومروءته وشهامته، ويُعد من أبرز شعراء الجاهلية، وأكثرهم تقديرًا في كتب الأدب والتاريخ.

توفي في بلدة توارن شمال الجزيرة العربية، حيث لا تزال موقدته وقبره يُذكران ضمن معالم الكرم العربي.",54.0,Hatim-Al-Tai,https://www.aldiwan.net/cat-poet-Hatim-Al-Tai
10,أوس بن حجر,,,,العصر الجاهلي,"أوس بن حجر بن مالك المازني التميمي (95–2 ق.هـ / 530–620م)، من أبرز شعراء قبيلة تميم في الجاهلية، ويُعرف بكنيته أبو شريح. نشأ في بيئة أدبية، فأبوه كان زوج أم الشاعر زهير بن أبي سلمى.

كان كثير الترحال، وأقام لفترات طويلة في الحيرة عند الملك عمرو بن هند. عاش حياة طويلة تجاوزت التسعين عاماً، واحتل مكانة مرموقة بين شعراء عصره. عدّه ابن سلام من شعراء الطبقة الثانية، بينما قرنه الأصفهاني بالحطيئة ونابغة بني جعدة، ووصفه بأنه ""فحل الشعراء""، حتى ظهر النابغة الذبياني فتفوّق عليه.

امتاز شعره بالحكمة والرقة، وكان مولعاً بالغزل ومحباً للنساء، وتقدّمه تميم على سائر شعراء العرب في زمنه.",53.0,aws-ibn-hajar,https://www.aldiwan.net/cat-poet-aws-ibn-hajar
11,عنترة بن شداد,,,,العصر الجاهلي,"عنترة بن شداد العبسي (525م – 608م)، فارسٌ وشاعرٌ جاهلي شهير، يُعد من أبرز شعراء العرب، وأحد أصحاب المعلقات. وُلد في نجد لأبٍ عربي (شداد العبسي) وأمٍ حبشية (زبيبة)، فعانى في طفولته من العبودية واحتقار قومه له بسبب لونه ونسبه، ولم يُعترف به ابنًا لأبيه إلا بعد أن أبدى شجاعة استثنائية في إحدى المعارك.

اشتهر بشعر الفروسية والحماسة، وكان مثالاً للبطولة والشهامة، كما عُرف أيضًا بغزله العفيف في محبوبته عبلة بنت مالك، ابنة عمه، التي واجه في سبيلها العقبات والموانع الاجتماعية، وظل حبها موضوعًا رئيسيًا في شعره.

شارك في حرب داحس والغبراء، وامتاز بشخصية مهيبة وبلاغة شعرية عالية، وتُعد معلقته من أجمل ما وصل من الشعر الجاهلي. لُقّب بـ""أبي الفوارس"" لفروسيته، كما عُدّ من أغربة العرب بسبب بشرته السمراء.

توفي عن عمر يُقارب 90 عامًا، وقُتل على يد زرّ بن جابر النبهاني في إحدى الغارات، بعد حياة طويلة من المعارك والمجد والشعر، ويُروى أن آخر ما قاله وهو مجروح: ""آثار ظُلمانٍ بقاعٍ محربٍ"".",158.0,antar-bin-shaddad,https://www.aldiwan.net/cat-poet-antar-bin-shaddad
13,الخنساء,,,,العصر الجاهلي,"تماضر بنت عمرو بن الحارث بن الشريد السُّلَمية (قبل 20 ق.هـ – 24 هـ / نحو 575م – 645م)، من بني سُليم من قيس عيلان، تُعد من أشهر شواعر العرب، بل أشعرهن على الإطلاق.

وُلدت في نجد وعاشت معظم حياتها في العصر الجاهلي، وأدركت الإسلام فأسلمت، وكانت من الوافدات على النبي محمد ﷺ مع قومها بني سليم. أعجب النبي بشعرها، وكان يستنشدها ويقول: ""هيه يا خنساء!""

اشتهرت برثاء أخويها صخر ومعاوية اللذين قُتلا في الجاهلية، ويُعد رثاؤها من أبلغ ما قيل في الشعر العربي القديم.
أسلمت وثبتت على الإسلام، وكان لها أربعة أبناء استُشهدوا في معركة القادسية سنة 16هـ (637م)، فحمدت الله قائلة:
""الحمد لله الذي شرفني بقتلهم.""

لها ديوان شعر طُبع ويضم ما وصلنا من قصائدها، ويُعد مصدرًا مهمًا في أدب الرثاء والبلاغة الشعرية.",101.0,al-khansa,https://www.aldiwan.net/cat-poet-al-khansa
14,عمرو بن كلثوم,,,,العصر الجاهلي,"عمرو بن كلثوم بن مالك بن عتّاب التغلبي، أبو الأسود، هو شاعر جاهلي من بني تغلب بن وائل، وُلد في الجزيرة الفراتية نحو عشرينات القرن السادس الميلادي. نشأ في بلاد ربيعة وتجوّل في الشام والعراق ونجد. عُرف بعلو همته وكبريائه وشجاعته، وساد قومه وهو فتى لا يتجاوز الخامسة عشرة من عمره. كان من الفتاك الشجعان، وتُعدّ فتكة عمرو بن كلثوم بالملك عمرو بن هند من أشهر فتك الجاهلية، وقد قتل الملك في مجلسه وانتزع رحله وخزائنه وانصرف إلى البادية دون أن يُصاب أحد من قومه.

ينحدر عمرو من بيت عزّ وشرف، فأبوه سيد من سادة تغلب، وأمه ليلى بنت المهلهل، أخت الشاعر المعروف المهلهل بن ربيعة، مما يجعل عمرو حفيدًا لعائلة اشتهرت بالشعر والفروسية. وقد عُرف عنه اعتزازه بنفسه ورفضه مدح الملوك، حتى إنه زار عمرو بن المنذر ملك الحيرة وأنشده شعرًا دون أن يمدحه، فحدث بينهما ما أدى لاحقًا إلى الفتكة الشهيرة.

له ديوان صغير، وأشهر ما نُسب إليه معلقته التي مطلعها ""ألا هُبّي بصحنِكِ فاصبحينا""، وهي من أعظم قصائد الفخر والحماسة في الشعر العربي. يقال إن القصيدة كانت في الأصل ألف بيت، لكن لم يُحفظ منها سوى جزء يسير. وقد شكك بعض النقاد كطه حسين في صحة نسبة كل أبياتها إلى عمرو، معتبرًا كثيرًا منها منحولًا أو مضافًا على مر العصور.",44.0,amr-ibn-kulthum,https://www.aldiwan.net/cat-poet-amr-ibn-kulthum
15,الحارث بن حلزة,,,,العصر الجاهلي,"الحارث بن حلّزة اليشكري هو شاعر عربي من عظماء قبيلة بكر بن وائل، وُلد في بادية العراق وعاش في القرن السادس الميلادي. اسمه الكامل الحارث بن حلّزة بن مكروه بن يزيد بن عبد الله بن مالك بن عبد بن سعد بن جشم بن ذبيان بن كنانة بن يشكر بن بكر بن وائل. عُرف بفخره الشديد بقومه حتى صار مضربًا للمثل، فقيل: «أفخر من الحارث بن حلزة».

برز في التاريخ من خلال مشاركته في قضية التحكيم بين قبيلتي بكر وتغلب أمام الملك عمرو بن هند بين عامي 554 و569م، حيث أنشد معلقته المشهورة مدافعًا فيها عن قومه ضد خصمه عمرو بن كلثوم. ورغم إصابته بالبرص، أصر على إلقاء القصيدة بنفسه، فأُعجب بها الملك وأمر برفع الستور عنه وأدناه إليه تكريمًا له.

تُعد معلقته من أهم قصائد الجاهلية، بلغ عدد أبياتها 85 بيتًا، ونُظمت بلغة قوية تحمل معاني الفخر والحماسة والرد على الخصم، وقد لاقت اهتمامًا كبيرًا من النقاد والمترجمين، حيث تُرجمت إلى اللاتينية والفرنسية، وشرحها الزوزني، وطبعت في عدة بلدان. توفي الحارث بن حلزة نحو سنة 580م.",19.0,harith-bin-halzh,https://www.aldiwan.net/cat-poet-harith-bin-halzh
16,عمرو بن الإطنابة,,,,العصر الجاهلي,"عمرو بن الإطنابة هو عمرو بن عامر بن زيد مناة بن عامر الخزرجي، شاعر جاهلي وأحد فرسان العرب المعدودين، يُنسب إلى أمه الإطنابة بنت شهاب بن زِبّان من بني القين بن جسر، وهي من قبيلة قضاعة، فاشتهر بين العرب باسم ابن الإطنابة، ليكون من قلائل الشعراء الذين عُرفوا باسم أمهاتهم لا آبائهم.
كان من أشراف قبيلة الخزرج، وقيل إنه ملك المدينة في الجاهلية بتفويض من النعمان بن المنذر ملك الحيرة، وتذكر بعض الأخبار أنه كان ملكًا على الحجاز، وإن كانت حياته وأخباره غامضة نسبيًا لقلة ما وصل إلينا من تراثه.
برز في إحدى المعارك الشهيرة عندما قاد الخزرج ضد قبيلة الأوس التي كان على رأسها معاذ بن النعمان. وقد ذُكر في رواية أخرى أنه حضر مع قومه إلى الطائف للقاء قبيلة معادية، فلما رأى لمعان السيوف تملّكه الخوف وفرّ، لكنه ما لبث أن شعر بالخجل من فراره فتوقف، 
وعلى الرغم من قلة ما وصل من شعره، فإن أثره في المرويات الجاهلية باقٍ، خصوصًا في تمثيله لمرحلة ما قبل الإسلام في المدينة (يثرب)، وقيم الشرف، والكرامة، والبطولة التي اعتز بها الجاهليون.",9.0,bin-alotunabh,https://www.aldiwan.net/cat-poet-bin-alotunabh
17,ابن الرعلاء,,,,العصر الجاهلي,"عدي بن الرعلاء الغساني. شاعر جاهلي اشتهر بنسبه إلى أمه، وضاع اسم أبيه. وهو صاحب القصيدة التي مطلعها: 
ليس من مات فاستراح بميت        إنما الميت ميت الأحياء",2.0,ibn-alrala,https://www.aldiwan.net/cat-poet-ibn-alrala
18,عبد الله بن العجلان النهدي,,,,العصر الجاهلي,عبد الله بن العجلان النهدي (؟ - 574م / 50 ق.هـ) شاعر جاهلي من قضاعة، وأحد سادة قومه، اشتهر بعذوبة شعره وعاطفته الجياشة. تزوج من امرأة تُدعى هند، أحبها حبًا شديدًا، لكنها لم تلد له، فأُجبر على طلاقها. تزوجت هند من رجل آخر، فازداد شغفه بها حتى مرض حزنًا. وفي مشهد مؤثر، زارها في دار زوجها، فتعانقا وبكيا حتى ماتا متعانقَين. يُعدّ من أبرز شعراء العشّاق في الجاهلية، وقد جُمع ديوانه لاحقًا في تحقيق حديث.,21.0,ibn-ajlan-nahdi,https://www.aldiwan.net/cat-poet-ibn-ajlan-nahdi
